title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
Toy Story,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Harry Potter y la piedra filosofal,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Intensamente,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Shrek,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Mi villano favorito,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coco,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El rey león,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Avengers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batman para siempre,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La bella y la bestia,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Monsters Inc.,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Monster House,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mi pobre angelito,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Viejos más malvados,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Esperando para exhalar,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
El Padre de la novia Parte II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tom y Huck,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La muerte súbita,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
El presidente americano,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Drácula: muerto pero feliz,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Balto,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Casino,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Sentido y sensibilidad,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cuatro habitaciones,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace Ventura: cuando la naturaleza llama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tren de dinero,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Achicarse,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Copycat,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
Assassins,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Polvo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Dejando las Vegas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Othello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amigas para siempre,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Persuasión,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
La ciudad de los niños perdidos,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Shanghai Triad (Yao A Yao Yao Dao Waipo Qiao),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mentes peligrosas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Doce monos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"Babe, el puerquito valiente",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pena de Muerte,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hacen falta dos,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clueless,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Llanto por la tierra amada
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
