Película,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western
Toy Story,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumanji,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grumpier Old Men,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Waiting to Exhale,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Father of the Bride Part II,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Sabrina,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tom and Huck,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudden Death,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GoldenEye,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"American President, The",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dracula: Dead and Loving It,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Balto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nixon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cutthroat Island,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Casino,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sense and Sensibility,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Four Rooms,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace Ventura: When Nature Calls,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Money Train,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Get Shorty,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Copycat,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
Assassins,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Powder,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Leaving Las Vegas,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Othello,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Now and Then,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Persuasion,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"City of Lost Children, The ",1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
Shanghai Triad ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dangerous Minds,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Twelve Monkeys ,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Babe,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dead Man Walking,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
It Takes Two,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clueless,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cry, the Beloved Country",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Richard III,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Dead Presidents,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Restoration,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mortal Kombat,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
To Die For,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
How to Make an American Quilt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Seven ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Pocahontas,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
When Night Is Falling,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Usual Suspects, The",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Mighty Aphrodite,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Lamerica,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Big Green, The",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Home for the Holidays,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Postman, The ",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Indian in the Cupboard, The",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eye for an Eye,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mr. Holland's Opus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Two if by Sea,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bio-Dome,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawnmower Man 2: Beyond Cyberspace,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
French Twist ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
